,,,,Q_4530,Q_4541,Q_4539,Q_4531,Q_4542,Q_4540,Q_4532,Q_4533,Q_4534,Q_4535,Q_4536,Q_4537,Q_5305,Q_5296,Q_4538,Q_4543,Q_4544,Q_4994,Q_4545,Q_4546,Q_4547,Q_4548,Q_4549,Q_4550,"External ID","Alert Times",Model,OS
,,,,sleepy_now,feel_then1,stress_whynot,mood_now,feel_now1,stress_whynot2,where_now,who_now,info_wellbeing_intro,doing_now,enjoy_now,depricated,info_stress_intro,stressor_type,depricated,info_brain_games,dotmemory_UUID,colornaming_UUID,symbolsearch_UUID,shoppinglist_UUID,info_distract,distract_now,distract_what,end_block
"Survey Date Submitted","Survey Date Completed","Participant ID","Survey Name","Which of these best describes how you feel <u>right now</u>?","How unpleasant was it when it happened?","Why do you think nothing stressful happened?","Which of these best describes your overall mood <u>right now</u>?","How do you feel about it now?","Even though nothing stressful happened, did you think  about stressful things?","Where are you?","Who are you with?","The next questions ask about your activities and experiences during the  time since the last survey.","What activities have you done?","How much enjoyment have you had?","The next several question ask about STRESSFUL experiences that may  have happened since the last survey. A STRESSFUL experience is any experience that presented a challenge or affected  you negatively.","The next several questions ask about STRESSFUL experiences that may have happened since the last survey. A STRESSFUL experience is any experience that presented a challenge or affected you negatively.","Did anything STRESSFUL happen? (Please indicate the most significant  experience)","Did anything STRESSFUL happen? (Please indicate the most significant  experience)","Thank you for completing the survey. Now, get ready to play some brain  games!","Press the arrow button below to continue.","Press the arrow button below to continue.","Press the arrow button below to continue.","Press the arrow button below to continue.","While you were playing the brain games...","Were you distracted by anything in your environment while  performing the brain games?","Please identify anything that distracted you. (Select all that apply)","End Block"
"2022-01-18 08:02:04","2022-01-18 08:02:03",curdy-ls0rn,"Beeped Survey 3",21.25,25.78,3,N/A,N/A,24.50,6,N/A,NA,1,82.15,NA,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,tired_iOS,N/A,N/A,N/A
"2022-01-18 08:02:04","2022-01-18 08:02:03",curdy-ls0rn,"Beeped Survey 3",81.87,N/A,3,20.40,N/A,23.94,6,3,NA,2,78.47,NA,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,tired_iOS,N/A,N/A,N/A
"2022-01-18 08:02:04","2022-01-18 08:02:03",curdy-ls0rn,"Beeped Survey 3",17.85,81.16,3,83.29,81.87,25.50,6,4,NA,3,79.04,NA,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,tired_iOS,N/A,N/A,N/A
"2022-01-18 08:02:04","2022-01-18 08:02:03",curdy-ls0rn,"Beeped Survey 3",20.40,76.77,3,76.91,N/A,22.52,6,3,NA,6,81.87,NA,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,tired_iOS,N/A,N/A,N/A
"2022-01-18 08:02:04","2022-01-18 08:02:03",curdy-ls0rn,"Beeped Survey 3",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,tired_iOS,N/A,N/A,N/A
"2022-01-18 14:58:48","2022-01-18 14:58:48",frug-xl3j7,"Beeped Survey 3",19.69,72.80,"3,4",78.47,23.94,21.81,6,"4,3",NA,"1,2,3",21.67,NA,N/A,1,N/A,NA,FF2AC76E-D4C3-4783-9F1D-C98A0585BE69,0321726E-76CF-4812-95C2-EBB1F5C9DAAE,77B46C5A-28CA-4964-9969-BF821FE5DB19,189C50A4-343A-4020-9F41-9E7D7EF5E83B,NA,2,N/A,N/A,"iOS_18Jan2022, Check_stickiness",N/A,N/A,N/A
"2022-01-18 14:58:51","2022-01-18 14:58:48",idol-pp00v,"Beeped Survey 3",76.00,19.00,N/A,25.00,84.00,N/A,8,"3,4",N/A,"6,5,4",82.00,N/A,N/A,4,N/A,N/A,c476a472-9582-4ea5-a101-99287264a6de,22d1ca4b-0e3b-4473-a039-fa0bef0b8ad1,11c73ea3-4967-40bf-aea2-86ee2c8d5e16,2fbc80c1-ebaa-477b-be90-c422a21b45a0,N/A,2,N/A,N/A,Android_18Jan2022,N/A,SM-G970U,11
"2022-01-18 19:02:30","2022-01-18 18:51:25",idol-pp00v,"Beeped Survey 3",20.00,84.00,N/A,22.00,24.00,N/A,5,1,N/A,"4,5",89.00,N/A,N/A,5,N/A,N/A,534d35e0-9345-4a78-9cdc-275f25f1d9d8,7fc92cd8-c31d-40bc-81c4-495e7e05555c,b90bb094-ea26-4bf4-a877-36d38830d86b,N/A,N/A,N/A,N/A,N/A,Android_18Jan2022,N/A,SM-G970U,11
