wearit_uuid,m2c2_cogtask,participant_id,device_model,device_os,survey_date_submitted,survey_date_completed,first_char,format_valid,block_id,cogtask_all_params_checksum,trialset_id,cogtask_resource_checksum,block_num,trial_sequence,trial_num,is_script,cogtask_error,cogtask_type,cogtask_script,Fixation_Time,cogtask_fps,cogtask_cps,mem_free_total,target_answer_location,block_trial_num,cogtask_trial_params,time_stamp,mem_free_perc,aStudyTime,trial_distractor,RT,os,selection,trial_uuid,script_checksum,cogtask_name,aFixTime,tStudyTime,trial_type,accuracy,cogtask_run_uuid,target_answer,cogtask_display_name
571F7095-B261-4E71-A003-5ED4D5843B6B,stroop,frug-xl3j7,N/A,N/A,2022-01-20 10:01:23,2022-01-20 10:01:23,[,TRUE,1,7ebfab4d1c9ebf8ab1f78f8f3478e7ce,0,{},1,X,1,true,,gamescript,stroop,900,41.58607350096712,41.58607350096712,NA,RIGHT,0,"{script:stroop,trialtype:0,leftcorrect:1,instructions:full_instructions,trialnum:16}",2022/01/19 14:23:13,NA,0,BLUE,2007,ios,RIGHT,b173c200-4857-4946-aac6-acd723f66779,"{Tools.js:ca63e8aeadad3fb000f03128ed0b5770,KAlpha.js:fdac535470841697614a578b451f6d35,GameEngine.js:61fa031fc10c8d55d04ff952c4d14db9,ZipReader.js:c32b070eee4998f1adb1f0fedd3f2855,iosScriptHelper.js:3c70f9d2aa7011e89f530fb689aae7e3,GMap.js:6f664b3e3d5cef53b028ecbddde836b6,Trial.js:ea19a3a882352e7a689d3cd43831bd2d,KPosition.js:a07b31f37c9cb1fa49a6b47bff376522,KTime.js:875c9b3225ef5e83b5e6e0ba905a448b,Entity.js:c946612f44aee711daf56d2e00ab0b20,GBox.js:9c44756dbeb2733973b0bc3ec7784187,GImage_Create.js:be4c9c66e36ca18ce3f2a33abc980330,KTrigger.js:31a7f1594d1a91d6647bceb8dd933173,GameParams.js:490f208599f26a512a0603d6feb03909,KWriter.js:99db3ce49718bf32dc2063252e2cdc25,GButton.js:a4b2cda308803649f182677b95c3c86a,Sprite.js:cd811fc36d62ac5077fddf578c118bcf,ErrorMan.js:539cd2c30aa2b5609ee615a040cdbca6,GImage.js:8a31b421f899c53c1d76057f7aa35dc3,KReader.js:6f4af1a4d2c591c04ca627ba69359bcd,GColor.js:3f152bebb4545bcef5d255a594dc52e2,KFile.js:5875df58116ef3e3aca293afdc753ec9,GList.js:48afd19d16e1f6eb786bf1d1d62f50a7,stroop.js:774e03638148c3fd14c0929ef92c96d1,GameRunner.js:3b9eb2c089c515d04038c8908c65a664}",stroop,904,undefined,I,1,014de76e-5848-4d3e-8e36-3e17ea4763f1,RED,stroop
571F7095-B261-4E71-A003-5ED4D5843B6B,stroop,frug-xl3j7,N/A,N/A,2022-01-20 10:01:23,2022-01-20 10:01:23,[,TRUE,1,7ebfab4d1c9ebf8ab1f78f8f3478e7ce,0,{},1,II,2,true,,gamescript,stroop,600,39.92794956469529,39.92794956469529,NA,LEFT,0,"{leftcorrect:0,instructions:full_instructions,trialtype:0,script:stroop,trialnum:16}",2022/01/19 14:23:17,NA,0,PURPLE,2616,ios,LEFT,c4442300-95e4-4645-959c-63ef62f368bd,"{Tools.js:ca63e8aeadad3fb000f03128ed0b5770,KAlpha.js:fdac535470841697614a578b451f6d35,GameEngine.js:61fa031fc10c8d55d04ff952c4d14db9,ZipReader.js:c32b070eee4998f1adb1f0fedd3f2855,iosScriptHelper.js:3c70f9d2aa7011e89f530fb689aae7e3,GMap.js:6f664b3e3d5cef53b028ecbddde836b6,Trial.js:ea19a3a882352e7a689d3cd43831bd2d,KPosition.js:a07b31f37c9cb1fa49a6b47bff376522,KTime.js:875c9b3225ef5e83b5e6e0ba905a448b,Entity.js:c946612f44aee711daf56d2e00ab0b20,GBox.js:9c44756dbeb2733973b0bc3ec7784187,GImage_Create.js:be4c9c66e36ca18ce3f2a33abc980330,KTrigger.js:31a7f1594d1a91d6647bceb8dd933173,GameParams.js:490f208599f26a512a0603d6feb03909,KWriter.js:99db3ce49718bf32dc2063252e2cdc25,GButton.js:a4b2cda308803649f182677b95c3c86a,Sprite.js:cd811fc36d62ac5077fddf578c118bcf,ErrorMan.js:539cd2c30aa2b5609ee615a040cdbca6,GImage.js:8a31b421f899c53c1d76057f7aa35dc3,KReader.js:6f4af1a4d2c591c04ca627ba69359bcd,GColor.js:3f152bebb4545bcef5d255a594dc52e2,KFile.js:5875df58116ef3e3aca293afdc753ec9,GList.js:48afd19d16e1f6eb786bf1d1d62f50a7,stroop.js:774e03638148c3fd14c0929ef92c96d1,GameRunner.js:3b9eb2c089c515d04038c8908c65a664}",stroop,612,undefined,I,1,014de76e-5848-4d3e-8e36-3e17ea4763f1,YELLOW,stroop
571F7095-B261-4E71-A003-5ED4D5843B6B,stroop,frug-xl3j7,N/A,N/A,2022-01-20 10:01:23,2022-01-20 10:01:23,[,TRUE,1,7ebfab4d1c9ebf8ab1f78f8f3478e7ce,0,{},1,II,3,true,,gamescript,stroop,1000,42.76457883369331,42.76457883369331,NA,RIGHT,0,"{trialtype:0,script:stroop,leftcorrect:1,instructions:full_instructions,trialnum:16}",2022/01/19 14:23:19,NA,0,GREEN,1240,ios,RIGHT,8aa1fbe8-d168-46c6-931b-44486c192ac2,"{Tools.js:ca63e8aeadad3fb000f03128ed0b5770,KAlpha.js:fdac535470841697614a578b451f6d35,GameEngine.js:61fa031fc10c8d55d04ff952c4d14db9,ZipReader.js:c32b070eee4998f1adb1f0fedd3f2855,iosScriptHelper.js:3c70f9d2aa7011e89f530fb689aae7e3,GMap.js:6f664b3e3d5cef53b028ecbddde836b6,Trial.js:ea19a3a882352e7a689d3cd43831bd2d,KPosition.js:a07b31f37c9cb1fa49a6b47bff376522,KTime.js:875c9b3225ef5e83b5e6e0ba905a448b,Entity.js:c946612f44aee711daf56d2e00ab0b20,GBox.js:9c44756dbeb2733973b0bc3ec7784187,GImage_Create.js:be4c9c66e36ca18ce3f2a33abc980330,KTrigger.js:31a7f1594d1a91d6647bceb8dd933173,GameParams.js:490f208599f26a512a0603d6feb03909,KWriter.js:99db3ce49718bf32dc2063252e2cdc25,GButton.js:a4b2cda308803649f182677b95c3c86a,Sprite.js:cd811fc36d62ac5077fddf578c118bcf,ErrorMan.js:539cd2c30aa2b5609ee615a040cdbca6,GImage.js:8a31b421f899c53c1d76057f7aa35dc3,KReader.js:6f4af1a4d2c591c04ca627ba69359bcd,GColor.js:3f152bebb4545bcef5d255a594dc52e2,KFile.js:5875df58116ef3e3aca293afdc753ec9,GList.js:48afd19d16e1f6eb786bf1d1d62f50a7,stroop.js:774e03638148c3fd14c0929ef92c96d1,GameRunner.js:3b9eb2c089c515d04038c8908c65a664}",stroop,1014,undefined,I,1,014de76e-5848-4d3e-8e36-3e17ea4763f1,ORANGE,stroop
571F7095-B261-4E71-A003-5ED4D5843B6B,stroop,frug-xl3j7,N/A,N/A,2022-01-20 10:01:23,2022-01-20 10:01:23,[,TRUE,1,7ebfab4d1c9ebf8ab1f78f8f3478e7ce,0,{},1,IC,4,true,,gamescript,stroop,700,40.476190476190474,40.476190476190474,NA,LEFT,0,"{trialtype:1,leftcorrect:0,trialnum:16,instructions:full_instructions,script:stroop}",2022/01/19 14:23:21,NA,0,YELLOW,1298,ios,RIGHT,ef6bd681-f4f0-4b23-a1d4-d049195402f1,"{Tools.js:ca63e8aeadad3fb000f03128ed0b5770,KAlpha.js:fdac535470841697614a578b451f6d35,GameEngine.js:61fa031fc10c8d55d04ff952c4d14db9,ZipReader.js:c32b070eee4998f1adb1f0fedd3f2855,iosScriptHelper.js:3c70f9d2aa7011e89f530fb689aae7e3,GMap.js:6f664b3e3d5cef53b028ecbddde836b6,Trial.js:ea19a3a882352e7a689d3cd43831bd2d,KPosition.js:a07b31f37c9cb1fa49a6b47bff376522,KTime.js:875c9b3225ef5e83b5e6e0ba905a448b,Entity.js:c946612f44aee711daf56d2e00ab0b20,GBox.js:9c44756dbeb2733973b0bc3ec7784187,GImage_Create.js:be4c9c66e36ca18ce3f2a33abc980330,KTrigger.js:31a7f1594d1a91d6647bceb8dd933173,GameParams.js:490f208599f26a512a0603d6feb03909,KWriter.js:99db3ce49718bf32dc2063252e2cdc25,GButton.js:a4b2cda308803649f182677b95c3c86a,Sprite.js:cd811fc36d62ac5077fddf578c118bcf,ErrorMan.js:539cd2c30aa2b5609ee615a040cdbca6,GImage.js:8a31b421f899c53c1d76057f7aa35dc3,KReader.js:6f4af1a4d2c591c04ca627ba69359bcd,GColor.js:3f152bebb4545bcef5d255a594dc52e2,KFile.js:5875df58116ef3e3aca293afdc753ec9,GList.js:48afd19d16e1f6eb786bf1d1d62f50a7,stroop.js:774e03638148c3fd14c0929ef92c96d1,GameRunner.js:3b9eb2c089c515d04038c8908c65a664}",stroop,714,undefined,C,0,014de76e-5848-4d3e-8e36-3e17ea4763f1,PURPLE,stroop
571F7095-B261-4E71-A003-5ED4D5843B6B,stroop,frug-xl3j7,N/A,N/A,2022-01-20 10:01:23,2022-01-20 10:01:23,[,TRUE,1,7ebfab4d1c9ebf8ab1f78f8f3478e7ce,0,{},1,CC,5,true,,gamescript,stroop,600,40.533188248095755,40.533188248095755,NA,RIGHT,0,"{leftcorrect:1,instructions:full_instructions,script:stroop,trialnum:16,trialtype:1}",2022/01/19 14:23:25,NA,0,GREEN,2998,ios,RIGHT,4a2e479b-7758-4eee-a488-0381faf47224,"{Tools.js:ca63e8aeadad3fb000f03128ed0b5770,KAlpha.js:fdac535470841697614a578b451f6d35,GameEngine.js:61fa031fc10c8d55d04ff952c4d14db9,ZipReader.js:c32b070eee4998f1adb1f0fedd3f2855,iosScriptHelper.js:3c70f9d2aa7011e89f530fb689aae7e3,GMap.js:6f664b3e3d5cef53b028ecbddde836b6,Trial.js:ea19a3a882352e7a689d3cd43831bd2d,KPosition.js:a07b31f37c9cb1fa49a6b47bff376522,KTime.js:875c9b3225ef5e83b5e6e0ba905a448b,Entity.js:c946612f44aee711daf56d2e00ab0b20,GBox.js:9c44756dbeb2733973b0bc3ec7784187,GImage_Create.js:be4c9c66e36ca18ce3f2a33abc980330,KTrigger.js:31a7f1594d1a91d6647bceb8dd933173,GameParams.js:490f208599f26a512a0603d6feb03909,KWriter.js:99db3ce49718bf32dc2063252e2cdc25,GButton.js:a4b2cda308803649f182677b95c3c86a,Sprite.js:cd811fc36d62ac5077fddf578c118bcf,ErrorMan.js:539cd2c30aa2b5609ee615a040cdbca6,GImage.js:8a31b421f899c53c1d76057f7aa35dc3,KReader.js:6f4af1a4d2c591c04ca627ba69359bcd,GColor.js:3f152bebb4545bcef5d255a594dc52e2,KFile.js:5875df58116ef3e3aca293afdc753ec9,GList.js:48afd19d16e1f6eb786bf1d1d62f50a7,stroop.js:774e03638148c3fd14c0929ef92c96d1,GameRunner.js:3b9eb2c089c515d04038c8908c65a664}",stroop,601,undefined,C,1,014de76e-5848-4d3e-8e36-3e17ea4763f1,RED,stroop
571F7095-B261-4E71-A003-5ED4D5843B6B,stroop,frug-xl3j7,N/A,N/A,2022-01-20 10:01:23,2022-01-20 10:01:23,[,TRUE,1,7ebfab4d1c9ebf8ab1f78f8f3478e7ce,0,{},1,CI,6,true,,gamescript,stroop,500,42.42669909471693,42.42669909471693,NA,RIGHT,0,"{trialtype:0,instructions:full_instructions,leftcorrect:1,script:stroop,trialnum:16}",2022/01/19 14:23:32,NA,0,PURPLE,6822,ios,RIGHT,af2a1bb9-1729-4619-aa39-a4bd0cb198ab,"{Tools.js:ca63e8aeadad3fb000f03128ed0b5770,KAlpha.js:fdac535470841697614a578b451f6d35,GameEngine.js:61fa031fc10c8d55d04ff952c4d14db9,ZipReader.js:c32b070eee4998f1adb1f0fedd3f2855,iosScriptHelper.js:3c70f9d2aa7011e89f530fb689aae7e3,GMap.js:6f664b3e3d5cef53b028ecbddde836b6,Trial.js:ea19a3a882352e7a689d3cd43831bd2d,KPosition.js:a07b31f37c9cb1fa49a6b47bff376522,KTime.js:875c9b3225ef5e83b5e6e0ba905a448b,Entity.js:c946612f44aee711daf56d2e00ab0b20,GBox.js:9c44756dbeb2733973b0bc3ec7784187,GImage_Create.js:be4c9c66e36ca18ce3f2a33abc980330,KTrigger.js:31a7f1594d1a91d6647bceb8dd933173,GameParams.js:490f208599f26a512a0603d6feb03909,KWriter.js:99db3ce49718bf32dc2063252e2cdc25,GButton.js:a4b2cda308803649f182677b95c3c86a,Sprite.js:cd811fc36d62ac5077fddf578c118bcf,ErrorMan.js:539cd2c30aa2b5609ee615a040cdbca6,GImage.js:8a31b421f899c53c1d76057f7aa35dc3,KReader.js:6f4af1a4d2c591c04ca627ba69359bcd,GColor.js:3f152bebb4545bcef5d255a594dc52e2,KFile.js:5875df58116ef3e3aca293afdc753ec9,GList.js:48afd19d16e1f6eb786bf1d1d62f50a7,stroop.js:774e03638148c3fd14c0929ef92c96d1,GameRunner.js:3b9eb2c089c515d04038c8908c65a664}",stroop,503,undefined,I,1,014de76e-5848-4d3e-8e36-3e17ea4763f1,ORANGE,stroop
571F7095-B261-4E71-A003-5ED4D5843B6B,stroop,frug-xl3j7,N/A,N/A,2022-01-20 10:01:23,2022-01-20 10:01:23,[,TRUE,1,7ebfab4d1c9ebf8ab1f78f8f3478e7ce,0,{},1,II,7,true,,gamescript,stroop,900,40.905134899912966,40.905134899912966,NA,LEFT,0,"{instructions:full_instructions,script:stroop,trialnum:16,trialtype:0,leftcorrect:0}",2022/01/19 14:23:36,NA,0,YELLOW,2460,ios,LEFT,ad055248-3621-42f8-b997-33fb761800e4,"{Tools.js:ca63e8aeadad3fb000f03128ed0b5770,KAlpha.js:fdac535470841697614a578b451f6d35,GameEngine.js:61fa031fc10c8d55d04ff952c4d14db9,ZipReader.js:c32b070eee4998f1adb1f0fedd3f2855,iosScriptHelper.js:3c70f9d2aa7011e89f530fb689aae7e3,GMap.js:6f664b3e3d5cef53b028ecbddde836b6,Trial.js:ea19a3a882352e7a689d3cd43831bd2d,KPosition.js:a07b31f37c9cb1fa49a6b47bff376522,KTime.js:875c9b3225ef5e83b5e6e0ba905a448b,Entity.js:c946612f44aee711daf56d2e00ab0b20,GBox.js:9c44756dbeb2733973b0bc3ec7784187,GImage_Create.js:be4c9c66e36ca18ce3f2a33abc980330,KTrigger.js:31a7f1594d1a91d6647bceb8dd933173,GameParams.js:490f208599f26a512a0603d6feb03909,KWriter.js:99db3ce49718bf32dc2063252e2cdc25,GButton.js:a4b2cda308803649f182677b95c3c86a,Sprite.js:cd811fc36d62ac5077fddf578c118bcf,ErrorMan.js:539cd2c30aa2b5609ee615a040cdbca6,GImage.js:8a31b421f899c53c1d76057f7aa35dc3,KReader.js:6f4af1a4d2c591c04ca627ba69359bcd,GColor.js:3f152bebb4545bcef5d255a594dc52e2,KFile.js:5875df58116ef3e3aca293afdc753ec9,GList.js:48afd19d16e1f6eb786bf1d1d62f50a7,stroop.js:774e03638148c3fd14c0929ef92c96d1,GameRunner.js:3b9eb2c089c515d04038c8908c65a664}",stroop,917,undefined,I,1,014de76e-5848-4d3e-8e36-3e17ea4763f1,GREEN,stroop
571F7095-B261-4E71-A003-5ED4D5843B6B,stroop,frug-xl3j7,N/A,N/A,2022-01-20 10:01:23,2022-01-20 10:01:23,[,TRUE,1,7ebfab4d1c9ebf8ab1f78f8f3478e7ce,0,{},1,II,8,true,,gamescript,stroop,800,41.03257004693501,41.03257004693501,NA,LEFT,0,"{leftcorrect:0,script:stroop,trialtype:0,instructions:full_instructions,trialnum:16}",2022/01/19 14:23:50,NA,0,PURPLE,13212,ios,RIGHT,af1e0272-c8dd-4b88-a57c-be9f66728031,"{Tools.js:ca63e8aeadad3fb000f03128ed0b5770,KAlpha.js:fdac535470841697614a578b451f6d35,GameEngine.js:61fa031fc10c8d55d04ff952c4d14db9,ZipReader.js:c32b070eee4998f1adb1f0fedd3f2855,iosScriptHelper.js:3c70f9d2aa7011e89f530fb689aae7e3,GMap.js:6f664b3e3d5cef53b028ecbddde836b6,Trial.js:ea19a3a882352e7a689d3cd43831bd2d,KPosition.js:a07b31f37c9cb1fa49a6b47bff376522,KTime.js:875c9b3225ef5e83b5e6e0ba905a448b,Entity.js:c946612f44aee711daf56d2e00ab0b20,GBox.js:9c44756dbeb2733973b0bc3ec7784187,GImage_Create.js:be4c9c66e36ca18ce3f2a33abc980330,KTrigger.js:31a7f1594d1a91d6647bceb8dd933173,GameParams.js:490f208599f26a512a0603d6feb03909,KWriter.js:99db3ce49718bf32dc2063252e2cdc25,GButton.js:a4b2cda308803649f182677b95c3c86a,Sprite.js:cd811fc36d62ac5077fddf578c118bcf,ErrorMan.js:539cd2c30aa2b5609ee615a040cdbca6,GImage.js:8a31b421f899c53c1d76057f7aa35dc3,KReader.js:6f4af1a4d2c591c04ca627ba69359bcd,GColor.js:3f152bebb4545bcef5d255a594dc52e2,KFile.js:5875df58116ef3e3aca293afdc753ec9,GList.js:48afd19d16e1f6eb786bf1d1d62f50a7,stroop.js:774e03638148c3fd14c0929ef92c96d1,GameRunner.js:3b9eb2c089c515d04038c8908c65a664}",stroop,800,undefined,I,0,014de76e-5848-4d3e-8e36-3e17ea4763f1,BLUE,stroop
571F7095-B261-4E71-A003-5ED4D5843B6B,stroop,frug-xl3j7,N/A,N/A,2022-01-20 10:01:23,2022-01-20 10:01:23,[,TRUE,1,7ebfab4d1c9ebf8ab1f78f8f3478e7ce,0,{},1,II,9,true,,gamescript,stroop,600,40.09720534629405,40.09720534629405,NA,RIGHT,0,"{trialtype:0,instructions:full_instructions,script:stroop,leftcorrect:1,trialnum:16}",2022/01/19 14:23:52,NA,0,GREEN,957,ios,LEFT,c39d00e9-b270-4679-9c50-f209020f6a7d,"{Tools.js:ca63e8aeadad3fb000f03128ed0b5770,KAlpha.js:fdac535470841697614a578b451f6d35,GameEngine.js:61fa031fc10c8d55d04ff952c4d14db9,ZipReader.js:c32b070eee4998f1adb1f0fedd3f2855,iosScriptHelper.js:3c70f9d2aa7011e89f530fb689aae7e3,GMap.js:6f664b3e3d5cef53b028ecbddde836b6,Trial.js:ea19a3a882352e7a689d3cd43831bd2d,KPosition.js:a07b31f37c9cb1fa49a6b47bff376522,KTime.js:875c9b3225ef5e83b5e6e0ba905a448b,Entity.js:c946612f44aee711daf56d2e00ab0b20,GBox.js:9c44756dbeb2733973b0bc3ec7784187,GImage_Create.js:be4c9c66e36ca18ce3f2a33abc980330,KTrigger.js:31a7f1594d1a91d6647bceb8dd933173,GameParams.js:490f208599f26a512a0603d6feb03909,KWriter.js:99db3ce49718bf32dc2063252e2cdc25,GButton.js:a4b2cda308803649f182677b95c3c86a,Sprite.js:cd811fc36d62ac5077fddf578c118bcf,ErrorMan.js:539cd2c30aa2b5609ee615a040cdbca6,GImage.js:8a31b421f899c53c1d76057f7aa35dc3,KReader.js:6f4af1a4d2c591c04ca627ba69359bcd,GColor.js:3f152bebb4545bcef5d255a594dc52e2,KFile.js:5875df58116ef3e3aca293afdc753ec9,GList.js:48afd19d16e1f6eb786bf1d1d62f50a7,stroop.js:774e03638148c3fd14c0929ef92c96d1,GameRunner.js:3b9eb2c089c515d04038c8908c65a664}",stroop,615,undefined,I,0,014de76e-5848-4d3e-8e36-3e17ea4763f1,YELLOW,stroop
571F7095-B261-4E71-A003-5ED4D5843B6B,stroop,frug-xl3j7,N/A,N/A,2022-01-20 10:01:23,2022-01-20 10:01:23,[,TRUE,1,7ebfab4d1c9ebf8ab1f78f8f3478e7ce,0,{},1,II,10,true,,gamescript,stroop,600,47.232824427480914,47.232824427480914,NA,LEFT,0,"{leftcorrect:0,script:stroop,trialnum:16,instructions:full_instructions,trialtype:0}",2022/01/19 14:23:56,NA,0,RED,3524,ios,RIGHT,ce015fb4-e844-4721-8cb4-1ec2a48ac5dd,"{Tools.js:ca63e8aeadad3fb000f03128ed0b5770,KAlpha.js:fdac535470841697614a578b451f6d35,GameEngine.js:61fa031fc10c8d55d04ff952c4d14db9,ZipReader.js:c32b070eee4998f1adb1f0fedd3f2855,iosScriptHelper.js:3c70f9d2aa7011e89f530fb689aae7e3,GMap.js:6f664b3e3d5cef53b028ecbddde836b6,Trial.js:ea19a3a882352e7a689d3cd43831bd2d,KPosition.js:a07b31f37c9cb1fa49a6b47bff376522,KTime.js:875c9b3225ef5e83b5e6e0ba905a448b,Entity.js:c946612f44aee711daf56d2e00ab0b20,GBox.js:9c44756dbeb2733973b0bc3ec7784187,GImage_Create.js:be4c9c66e36ca18ce3f2a33abc980330,KTrigger.js:31a7f1594d1a91d6647bceb8dd933173,GameParams.js:490f208599f26a512a0603d6feb03909,KWriter.js:99db3ce49718bf32dc2063252e2cdc25,GButton.js:a4b2cda308803649f182677b95c3c86a,Sprite.js:cd811fc36d62ac5077fddf578c118bcf,ErrorMan.js:539cd2c30aa2b5609ee615a040cdbca6,GImage.js:8a31b421f899c53c1d76057f7aa35dc3,KReader.js:6f4af1a4d2c591c04ca627ba69359bcd,GColor.js:3f152bebb4545bcef5d255a594dc52e2,KFile.js:5875df58116ef3e3aca293afdc753ec9,GList.js:48afd19d16e1f6eb786bf1d1d62f50a7,stroop.js:774e03638148c3fd14c0929ef92c96d1,GameRunner.js:3b9eb2c089c515d04038c8908c65a664}",stroop,601,undefined,I,0,014de76e-5848-4d3e-8e36-3e17ea4763f1,ORANGE,stroop
571F7095-B261-4E71-A003-5ED4D5843B6B,stroop,frug-xl3j7,N/A,N/A,2022-01-20 10:01:23,2022-01-20 10:01:23,[,TRUE,1,7ebfab4d1c9ebf8ab1f78f8f3478e7ce,0,{},1,IC,11,true,,gamescript,stroop,500,59.701492537313435,59.701492537313435,NA,RIGHT,0,"{trialnum:16,instructions:full_instructions,script:stroop,leftcorrect:1,trialtype:1}",2022/01/19 14:23:58,NA,0,BLUE,1641,ios,RIGHT,c5e86967-2210-4590-8be4-7751abab08d1,"{Tools.js:ca63e8aeadad3fb000f03128ed0b5770,KAlpha.js:fdac535470841697614a578b451f6d35,GameEngine.js:61fa031fc10c8d55d04ff952c4d14db9,ZipReader.js:c32b070eee4998f1adb1f0fedd3f2855,iosScriptHelper.js:3c70f9d2aa7011e89f530fb689aae7e3,GMap.js:6f664b3e3d5cef53b028ecbddde836b6,Trial.js:ea19a3a882352e7a689d3cd43831bd2d,KPosition.js:a07b31f37c9cb1fa49a6b47bff376522,KTime.js:875c9b3225ef5e83b5e6e0ba905a448b,Entity.js:c946612f44aee711daf56d2e00ab0b20,GBox.js:9c44756dbeb2733973b0bc3ec7784187,GImage_Create.js:be4c9c66e36ca18ce3f2a33abc980330,KTrigger.js:31a7f1594d1a91d6647bceb8dd933173,GameParams.js:490f208599f26a512a0603d6feb03909,KWriter.js:99db3ce49718bf32dc2063252e2cdc25,GButton.js:a4b2cda308803649f182677b95c3c86a,Sprite.js:cd811fc36d62ac5077fddf578c118bcf,ErrorMan.js:539cd2c30aa2b5609ee615a040cdbca6,GImage.js:8a31b421f899c53c1d76057f7aa35dc3,KReader.js:6f4af1a4d2c591c04ca627ba69359bcd,GColor.js:3f152bebb4545bcef5d255a594dc52e2,KFile.js:5875df58116ef3e3aca293afdc753ec9,GList.js:48afd19d16e1f6eb786bf1d1d62f50a7,stroop.js:774e03638148c3fd14c0929ef92c96d1,GameRunner.js:3b9eb2c089c515d04038c8908c65a664}",stroop,510,undefined,C,1,014de76e-5848-4d3e-8e36-3e17ea4763f1,YELLOW,stroop
571F7095-B261-4E71-A003-5ED4D5843B6B,stroop,frug-xl3j7,N/A,N/A,2022-01-20 10:01:23,2022-01-20 10:01:23,[,TRUE,1,7ebfab4d1c9ebf8ab1f78f8f3478e7ce,0,{},1,CC,12,true,,gamescript,stroop,1000,59.60617349654071,59.60617349654071,NA,LEFT,0,"{leftcorrect:0,script:stroop,trialnum:16,instructions:full_instructions,trialtype:1}",2022/01/19 14:24:00,NA,0,PURPLE,815,ios,LEFT,72e5efc2-abdb-4b20-8774-4bffa51168c7,"{Tools.js:ca63e8aeadad3fb000f03128ed0b5770,KAlpha.js:fdac535470841697614a578b451f6d35,GameEngine.js:61fa031fc10c8d55d04ff952c4d14db9,ZipReader.js:c32b070eee4998f1adb1f0fedd3f2855,iosScriptHelper.js:3c70f9d2aa7011e89f530fb689aae7e3,GMap.js:6f664b3e3d5cef53b028ecbddde836b6,Trial.js:ea19a3a882352e7a689d3cd43831bd2d,KPosition.js:a07b31f37c9cb1fa49a6b47bff376522,KTime.js:875c9b3225ef5e83b5e6e0ba905a448b,Entity.js:c946612f44aee711daf56d2e00ab0b20,GBox.js:9c44756dbeb2733973b0bc3ec7784187,GImage_Create.js:be4c9c66e36ca18ce3f2a33abc980330,KTrigger.js:31a7f1594d1a91d6647bceb8dd933173,GameParams.js:490f208599f26a512a0603d6feb03909,KWriter.js:99db3ce49718bf32dc2063252e2cdc25,GButton.js:a4b2cda308803649f182677b95c3c86a,Sprite.js:cd811fc36d62ac5077fddf578c118bcf,ErrorMan.js:539cd2c30aa2b5609ee615a040cdbca6,GImage.js:8a31b421f899c53c1d76057f7aa35dc3,KReader.js:6f4af1a4d2c591c04ca627ba69359bcd,GColor.js:3f152bebb4545bcef5d255a594dc52e2,KFile.js:5875df58116ef3e3aca293afdc753ec9,GList.js:48afd19d16e1f6eb786bf1d1d62f50a7,stroop.js:774e03638148c3fd14c0929ef92c96d1,GameRunner.js:3b9eb2c089c515d04038c8908c65a664}",stroop,1001,undefined,C,1,014de76e-5848-4d3e-8e36-3e17ea4763f1,GREEN,stroop
571F7095-B261-4E71-A003-5ED4D5843B6B,stroop,frug-xl3j7,N/A,N/A,2022-01-20 10:01:23,2022-01-20 10:01:23,[,TRUE,1,7ebfab4d1c9ebf8ab1f78f8f3478e7ce,0,{},1,CC,13,true,,gamescript,stroop,900,59.75197294250282,59.75197294250282,NA,RIGHT,0,"{script:stroop,instructions:full_instructions,trialtype:1,leftcorrect:1,trialnum:16}",2022/01/19 14:24:02,NA,0,ORANGE,815,ios,RIGHT,1e554c4e-f276-4267-bfb2-a1953f0d87f3,"{Tools.js:ca63e8aeadad3fb000f03128ed0b5770,KAlpha.js:fdac535470841697614a578b451f6d35,GameEngine.js:61fa031fc10c8d55d04ff952c4d14db9,ZipReader.js:c32b070eee4998f1adb1f0fedd3f2855,iosScriptHelper.js:3c70f9d2aa7011e89f530fb689aae7e3,GMap.js:6f664b3e3d5cef53b028ecbddde836b6,Trial.js:ea19a3a882352e7a689d3cd43831bd2d,KPosition.js:a07b31f37c9cb1fa49a6b47bff376522,KTime.js:875c9b3225ef5e83b5e6e0ba905a448b,Entity.js:c946612f44aee711daf56d2e00ab0b20,GBox.js:9c44756dbeb2733973b0bc3ec7784187,GImage_Create.js:be4c9c66e36ca18ce3f2a33abc980330,KTrigger.js:31a7f1594d1a91d6647bceb8dd933173,GameParams.js:490f208599f26a512a0603d6feb03909,KWriter.js:99db3ce49718bf32dc2063252e2cdc25,GButton.js:a4b2cda308803649f182677b95c3c86a,Sprite.js:cd811fc36d62ac5077fddf578c118bcf,ErrorMan.js:539cd2c30aa2b5609ee615a040cdbca6,GImage.js:8a31b421f899c53c1d76057f7aa35dc3,KReader.js:6f4af1a4d2c591c04ca627ba69359bcd,GColor.js:3f152bebb4545bcef5d255a594dc52e2,KFile.js:5875df58116ef3e3aca293afdc753ec9,GList.js:48afd19d16e1f6eb786bf1d1d62f50a7,stroop.js:774e03638148c3fd14c0929ef92c96d1,GameRunner.js:3b9eb2c089c515d04038c8908c65a664}",stroop,901,undefined,C,1,014de76e-5848-4d3e-8e36-3e17ea4763f1,RED,stroop
